Retailer,RetailerID,InvoiceDate,Region,State,City,Product,Price_per_unit,Units_sold,Total_sales,Operating_profit,Sales_method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,60000.00,30000.00,In-store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.00,1000.00,50000.00,15000.00,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.00,1000.00,40000.00,14000.00,In-store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.00,850.00,38250.00,13387.50,In-store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.00,900.00,54000.00,16200.00,In-store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.00,1000.00,50000.00,12500.00,In-store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.00,1250.00,62500.00,31250.00,In-store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,45000.00,13500.00,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,38000.00,13300.00,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,37125.00,12993.75,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.00,900.00,54000.00,16200.00,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.00,1000.00,50000.00,12500.00,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.00,1220.00,61000.00,30500.00,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.00,925.00,46250.00,13875.00,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,38000.00,13300.00,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.00,800.00,36000.00,12600.00,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.00,850.00,51000.00,15300.00,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.00,950.00,47500.00,11875.00,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,60000.00,30000.00,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,45000.00,13500.00,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.00,900.00,36000.00,12600.00,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,37125.00,12993.75,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.00,825.00,49500.00,14850.00,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.00,950.00,47500.00,11875.00,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.00,1220.00,73200.00,36600.00,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.00,925.00,50875.00,15262.50,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.00,900.00,45000.00,15750.00,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.00,850.00,42500.00,14875.00,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.00,875.00,52500.00,15750.00,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.00,1000.00,65000.00,16250.00,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.00,1250.00,75000.00,37500.00,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,55000.00,16500.00,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.00,925.00,46250.00,16187.50,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,45000.00,15750.00,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's aparel,60.00,900.00,54000.00,16200.00,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.00,1050.00,68250.00,17062.50,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.00,1275.00,76500.00,38250.00,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025.00,56375.00,16912.50,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.00,950.00,47500.00,16625.00,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,45000.00,15750.00,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.00,925.00,55500.00,16650.00,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.00,1100.00,71500.00,17875.00,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.00,1250.00,75000.00,37500.00,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025.00,56375.00,16912.50,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.00,950.00,47500.00,16625.00,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.00,925.00,46250.00,16187.50,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.00,900.00,54000.00,16200.00,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.00,1075.00,69875.00,17468.75,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.00,1200.00,72000.00,36000.00,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,55000.00,16500.00,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.00,925.00,46250.00,16187.50,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.00,900.00,45000.00,15750.00,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.00,900.00,54000.00,16200.00,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.00,1000.00,65000.00,16250.00,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.00,875.00,56875.00,17062.50,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.00,1000.00,70000.00,17500.00,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.00,1150.00,74750.00,37375.00,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.00,975.00,53625.00,16087.50,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.00,920.00,50600.00,17710.00,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.00,900.00,49500.00,17325.00,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.00,875.00,56875.00,17062.50,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.00,975.00,68250.00,17062.50,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.00,1200.00,78000.00,39000.00,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000.00,55000.00,16500.00,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.00,950.00,52250.00,18287.50,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.00,900.00,49500.00,17325.00,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.00,900.00,58500.00,17550.00,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.00,1000.00,70000.00,17500.00,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.00,900.00,22500.00,7875.00,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.00,900.00,31500.00,11025.00,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.00,700.00,24500.00,8575.00,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.00,700.00,24500.00,11025.00,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.00,550.00,22000.00,6600.00,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.00,700.00,24500.00,12250.00,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.00,850.00,21250.00,7437.50,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.00,850.00,29750.00,10412.50,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.00,675.00,23625.00,8268.75,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.00,625.00,21875.00,9843.75,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.00,500.00,20000.00,6000.00,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.00,700.00,24500.00,12250.00,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.00,875.00,26250.00,9187.50,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.00,875.00,35000.00,12250.00,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.00,700.00,24500.00,8575.00,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.00,600.00,24000.00,10800.00,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.00,500.00,22500.00,6750.00,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.00,650.00,26000.00,13000.00,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.00,900.00,27000.00,9450.00,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.00,900.00,36000.00,12600.00,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.00,725.00,25375.00,8881.25,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.00,625.00,25000.00,11250.00,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.00,525.00,23625.00,7087.50,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.00,800.00,32000.00,16000.00,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.00,925.00,27750.00,9712.50,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.00,925.00,37000.00,12950.00,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.00,775.00,27125.00,9493.75,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.00,700.00,28000.00,12600.00,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.00,600.00,27000.00,8100.00,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.00,950.00,38000.00,19000.00,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.00,950.00,38000.00,13300.00,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.00,950.00,42750.00,14962.50,Outlet
