	showMovieId	movieID	theaterID	showMovieDate
	1	312	4	2023-06-07 14:30:00
	2	245	2	2023-06-08 18:45:00
	3	123	1	2023-06-09 20:15:00
	4	189	3	2023-06-10 12:00:00
	5	55	4	2023-06-11 16:30:00
	6	76	3	2023-06-12 10:00:00
	7	287	1	2023-06-13 19:45:00
	8	98	2	2023-06-14 13:30:00
	9	207	3	2023-06-15 15:45:00
	10	33	4	2023-06-16 17:00:00
	11	178	1	2023-06-17 14:15:00
	12	132	2	2023-06-18 21:00:00
	13	296	3	2023-06-19 16:30:00
	14	214	4	2023-06-20 11:45:00
	15	76	1	2023-06-21 18:00:00
	16	266	2	2023-06-22 20:30:00
	17	45	3	2023-06-23 15:15:00
	18	198	4	2023-06-24 12:45:00
	19	99	1	2023-06-25 17:30:00
	20	154	2	2023-06-26 14:00:00
	21	303	3	2023-06-27 21:45:00
	22	121	4	2023-06-28 19:00:00
	23	287	1	2023-06-29 10:30:00
	24	76	2	2023-06-30 16:15:00
	25	178	3	2023-07-01 13:45:00
	26	45	4	2023-07-02 18:30:00
	27	312	1	2023-07-03 15:00:00
	28	207	2	2023-07-04 22:45:00
	29	55	3	2023-07-05 19:15:00
	30	123	4	2023-07-06 14:30:00
	31	189	1	2023-07-07 18:45:00
	32	154	2	2023-07-08 20:15:00
	33	33	3	2023-07-09 12:00:00
	34	266	4	2023-07-10 16:30:00
	35	132	1	2023-07-11 10:00:00
	36	198	2	2023-07-12 19:45:00
	37	99	3	2023-07-13 13:30:00
	38	303	4	2023-07-14 15:45:00
	39	214	1	2023-07-15 17:00:00
	40	121	2	2023-07-16 14:15:00
	41	245	3	2023-07-17 21:00:00
	42	76	4	2023-07-18 16:30:00
	43	287	1	2023-07-19 11:45:00
	44	178	2	2023-07-20 18:00:00
	45	99	3	2023-07-21 20:30:00
	46	45	4	2023-07-22 15:15:00
	47	312	1	2023-07-23 12:45:00
	48	207	2	2023-07-24 17:30:00
	49	33	3	2023-07-25 14:00:00
	50	189	4	2023-07-26 21:45:00
	51	132	1	2023-07-27 19:00:00
	52	154	2	2023-07-28 10:30:00
	53	123	3	2023-07-29 16:15:00
	54	266	4	2023-07-30 13:45:00
	55	214	1	2023-07-31 18:30:00
	56	121	2	2023-08-01 15:00:00
	57	55	3	2023-08-02 22:45:00
	58	99	4	2023-08-03 19:15:00
	59	287	1	2023-08-04 14:30:00
	60	198	2	2023-08-05 18:45:00
	61	45	3	2023-08-06 20:15:00
	62	33	4	2023-08-07 12:00:00
	63	123	1	2023-08-08 16:30:00
	64	312	2	2023-08-09 10:00:00
	65	154	3	2023-08-10 19:45:00
	66	76	4	2023-08-11 13:30:00
	67	266	1	2023-08-12 15:45:00
	68	99	2	2023-08-13 17:00:00
	69	214	3	2023-08-14 14:15:00
	70	287	4	2023-08-15 21:00:00
	71	178	1	2023-08-16 16:30:00
	72	245	2	2023-08-17 11:45:00
	73	45	3	2023-08-18 18:00:00
	74	33	4	2023-08-19 20:30:00
	75	121	1	2023-08-20 15:15:00
	76	189	2	2023-08-21 12:45:00
	77	55	3	2023-08-22 17:30:00
	78	123	4	2023-08-23 14:00:00
	79	198	1	2023-08-24 21:45:00
	80	312	2	2023-08-25 19:00:00
	81	154	3	2023-08-26 10:30:00
	82	76	4	2023-08-27 16:15:00
	83	287	1	2023-08-28 13:45:00
	84	99	2	2023-08-29 18:30:00
	85	214	3	2023-08-30 15:00:00
	86	33	4	2023-08-31 22:45:00
	87	121	1	2023-09-01 19:15:00
	88	245	2	2023-09-02 14:30:00
	89	45	3	2023-09-03 18:45:00
	90	189	4	2023-09-04 20:15:00
	91	123	1	2023-09-05 12:00:00
	92	198	2	2023-09-06 16:30:00
	93	55	3	2023-09-07 10:00:00
	94	312	4	2023-09-08 19:45:00
	95	287	1	2023-09-09 13:30:00
	96	99	2	2023-09-10 15:45:00
	97	127	1	2023-06-01 15:30:00
	98	56	2	2023-06-02 18:45:00
	99	234	3	2023-06-03 13:15:00
	100	78	4	2023-06-04 20:00:00
	101	212	1	2023-06-05 16:30:00
	102	98	2	2023-06-06 19:45:00
	103	178	3	2023-06-07 14:00:00
	104	33	4	2023-06-08 21:30:00
	105	156	1	2023-06-09 17:15:00
	106	287	2	2023-06-10 20:30:00
	107	45	3	2023-06-11 13:45:00
	108	198	4	2023-06-12 22:00:00
	109	121	1	2023-06-13 18:30:00
	110	289	2	2023-06-14 19:45:00
	111	67	3	2023-06-15 14:00:00
	112	176	4	2023-06-16 21:30:00
	113	89	1	2023-06-17 16:15:00
	114	312	2	2023-06-18 19:30:00
	115	135	3	2023-06-19 12:45:00
	116	244	4	2023-06-20 20:00:00
	117	99	1	2023-06-21 17:30:00
	118	178	2	2023-06-22 20:45:00
	119	56	3	2023-06-23 14:00:00
	120	245	4	2023-06-24 21:15:00
	121	123	1	2023-06-25 18:45:00
	122	300	2	2023-06-26 19:00:00
	123	45	3	2023-06-27 12:15:00
	124	132	4	2023-06-28 19:30:00
	125	67	1	2023-06-29 16:00:00
	126	198	2	2023-06-30 19:15:00
	127	33	3	2023-07-01 12:30:00
	128	234	4	2023-07-02 20:45:00
	129	121	1	2023-07-03 17:15:00
	130	178	2	2023-07-04 20:30:00
	131	56	3	2023-07-05 13:45:00
	132	287	4	2023-07-06 21:00:00
	133	99	1	2023-07-07 18:30:00
	134	212	2	2023-07-08 19:45:00
	135	45	3	2023-07-09 13:00:00
	136	244	4	2023-07-10 20:15:00
	137	135	1	2023-07-11 17:45:00
	138	300	2	2023-07-12 21:00:00
	139	67	3	2023-07-13 14:15:00
	140	156	4	2023-07-14 21:30:00
	141	89	1	2023-07-15 18:00:00
	142	198	2	2023-07-16 20:15:00
	143	33	3	2023-07-17 13:30:00
	144	178	4	2023-07-18 20:45:00
	145	121	1	2023-07-19 17:15:00
	146	245	2	2023-07-20 20:30:00
	147	56	3	2023-07-21 13:45:00
	148	312	4	2023-07-22 21:00:00
	149	99	1	2023-07-23 18:30:00
	150	234	2	2023-07-24 19:45:00
	151	45	3	2023-07-25 13:00:00
	152	287	4	2023-07-26 20:15:00
	153	135	1	2023-07-27 17:45:00
	154	178	2	2023-07-28 21:00:00
	155	67	3	2023-07-29 14:15:00
	156	198	4	2023-07-30 21:30:00
	157	89	1	2023-07-31 18:00:00
	158	156	2	2023-08-01 20:15:00
	159	33	3	2023-08-02 13:30:00
	160	244	4	2023-08-03 20:45:00
	161	121	1	2023-08-04 17:15:00
	162	212	2	2023-08-05 19:30:00
	163	56	3	2023-08-06 12:45:00
	164	300	4	2023-08-07 20:00:00
	165	99	1	2023-08-08 17:30:00
	166	178	2	2023-08-09 20:45:00
	167	67	3	2023-08-10 14:00:00
	168	198	4	2023-08-11 21:15:00
	169	45	1	2023-08-12 18:45:00
	170	289	2	2023-08-13 20:00:00
	171	123	3	2023-08-14 13:15:00
	172	244	4	2023-08-15 20:30:00
	173	135	1	2023-08-16 17:45:00
	174	312	2	2023-08-17 21:00:00
	175	67	3	2023-08-18 14:15:00
	176	176	4	2023-08-19 21:30:00
	177	89	1	2023-08-20 18:00:00
	178	178	2	2023-08-21 20:15:00
	179	56	3	2023-08-22 13:30:00
	180	245	4	2023-08-23 20:45:00
	181	123	1	2023-08-24 18:15:00
	182	300	2	2023-08-25 20:30:00
	183	45	3	2023-08-26 13:45:00
	184	132	4	2023-08-27 21:00:00
	185	67	1	2023-08-28 17:30:00
	186	198	2	2023-08-29 20:45:00
	187	33	3	2023-08-30 14:00:00
	188	234	4	2023-08-31 21:15:00
	189	121	1	2023-09-01 18:45:00
	190	289	2	2023-09-02 20:00:00
	191	67	3	2023-09-03 13:15:00
	192	176	4	2023-09-04 20:30:00
	193	89	1	2023-09-05 17:45:00
	194	198	2	2023-09-06 21:00:00
	195	33	3	2023-09-07 14:15:00
	196	178	4	2023-09-08 21:30:00
	197	121	1	2023-09-09 18:00:00
	198	245	2	2023-09-10 20:15:00
	199	56	3	2023-09-11 13:30:00
	200	312	4	2023-09-12 20:45:00
	201	99	1	2023-09-13 18:15:00
	202	234	2	2023-09-14 20:30:00
	203	45	3	2023-09-15 13:45:00
	204	287	4	2023-09-16 21:00:00
	205	135	1	2023-09-17 17:30:00
	206	178	2	2023-09-18 20:45:00
	207	67	3	2023-09-19 14:00:00
	208	198	4	2023-09-20 21:15:00
	209	89	1	2023-09-21 18:45:00
	210	156	2	2023-09-22 20:00:00
	211	33	3	2023-09-23 13:15:00
	212	244	4	2023-09-24 20:30:00
	213	121	1	2023-09-25 17:45:00
	214	212	2	2023-09-26 21:00:00
	215	56	3	2023-09-27 14:15:00
	216	300	4	2023-09-28 21:30:00
	217	99	1	2023-09-29 18:00:00
	218	178	2	2023-09-30 20:15:00
				
