INSERT INTO Scheduled (showMovieId, movieID, theaterID, showMovieDate) VALUES
(1, 312, 4, '2023-06-07 14:30:00'),
(2, 245, 2, '2023-06-08 18:45:00'),
(3, 123, 1, '2023-06-09 20:15:00'),
(4, 189, 3, '2023-06-10 12:00:00'),
(5, 55, 4, '2023-06-11 16:30:00'),
(6, 76, 3, '2023-06-12 10:00:00'),
(7, 287, 1, '2023-06-13 19:45:00'),
(8, 98, 2, '2023-06-14 13:30:00'),
(9, 207, 3, '2023-06-15 15:45:00'),
(10, 33, 4, '2023-06-16 17:00:00'),
(11, 178, 1, '2023-06-17 14:15:00'),
(12, 132, 2, '2023-06-18 21:00:00'),
(13, 296, 3, '2023-06-19 16:30:00'),
(14, 214, 4, '2023-06-20 11:45:00'),
(15, 76, 1, '2023-06-21 18:00:00'),
(16, 266, 2, '2023-06-22 20:30:00'),
(17, 45, 3, '2023-06-23 15:15:00'),
(18, 198, 4, '2023-06-24 12:45:00'),
(19, 99, 1, '2023-06-25 17:30:00'),
(20, 154, 2, '2023-06-26 14:00:00'),
(21, 303, 3, '2023-06-27 21:45:00'),
(22, 121, 4, '2023-06-28 19:00:00'),
(23, 287, 1, '2023-06-29 10:30:00'),
(24, 76, 2, '2023-06-30 16:15:00'),
(25, 178, 3, '2023-07-01 13:45:00'),
(26, 45, 4, '2023-07-02 18:30:00'),
(27, 312, 1, '2023-07-03 15:00:00'),
(28, 207, 2, '2023-07-04 22:45:00'),
(29, 55, 3, '2023-07-05 19:15:00'),
(30, 123, 4, '2023-07-06 14:30:00'),
(31, 189, 1, '2023-07-07 18:45:00'),
(32, 154, 2, '2023-07-08 20:15:00'),
(33, 303, 3, '2023-07-09 12:00:00'),
(34, 121, 4, '2023-07-10 16:30:00'),
(35, 132, 1, '2023-07-11 10:00:00'),
(36, 99, 2, '2023-07-12 19:45:00'),
(37, 266, 3, '2023-07-13 13:30:00'),
(38, 296, 4, '2023-07-14 15:45:00'),
(39, 245, 1, '2023-07-15 17:00:00'),
(40, 214, 2, '2023-07-16 14:15:00'),
(41, 55, 3, '2023-07-17 21:00:00'),
(42, 98, 4, '2023-07-18 16:30:00'),
(43, 198, 1, '2023-07-19 11:45:00'),
(44, 33, 2, '2023-07-20 18:00:00'),
(45, 132, 3, '2023-07-21 20:30:00'),
(46, 296, 4, '2023-07-22 15:15:00'),
(47, 214, 1, '2023-07-23 12:45:00'),
(48, 76, 2, '2023-07-24 17:30:00'),
(49, 303, 3, '2023-07-25 14:00:00'),
(50, 121, 4, '2023-07-26 21:45:00'),
(51, 207, 1, '2023-07-27 19:00:00'),
(52, 312, 2, '2023-07-28 10:30:00'),
(53, 45, 3, '2023-07-29 16:15:00'),
(54, 154, 4, '2023-07-30 13:45:00'),
(55, 99, 1, '2023-07-31 18:30:00'),
(56, 178, 2, '2023-08-01 15:00:00'),
(57, 55, 3, '2023-08-02 22:45:00'),
(58, 123, 4, '2023-08-03 19:15:00'),
(59, 189, 1, '2023-08-04 14:30:00'),
(60, 154, 2, '2023-08-05 18:45:00'),
(61, 303, 3, '2023-08-06 20:15:00'),
(62, 121, 4, '2023-08-07 12:00:00'),
(63, 287, 1, '2023-08-08 16:30:00'),
(64, 76, 2, '2023-08-09 10:00:00'),
(65, 178, 3, '2023-08-10 19:45:00'),
(66, 45, 4, '2023-08-11 13:30:00'),
(67, 312, 1, '2023-08-12 15:45:00'),
(68, 207, 2, '2023-08-13 17:00:00'),
(69, 55, 3, '2023-08-14 14:15:00'),
(70, 123, 4, '2023-08-15 21:00:00'),
(71, 99, 1, '2023-08-16 16:30:00'),
(72, 198, 2, '2023-08-17 10:45:00'),
(73, 154, 3, '2023-08-18 19:00:00'),
(74, 287, 4, '2023-08-19 15:15:00'),
(75, 207, 1, '2023-08-20 12:30:00'),
(76, 33, 2, '2023-08-21 18:45:00'),
(77, 123, 3, '2023-08-22 20:00:00'),
(78, 312, 4, '2023-08-23 14:15:00'),
(79, 55, 1, '2023-08-24 18:30:00'),
(80, 132, 2, '2023-08-25 15:45:00'),
(81, 303, 3, '2023-08-26 21:00:00'),
(82, 99, 4, '2023-08-27 19:15:00'),
(83, 189, 1, '2023-08-28 13:30:00'),
(84, 76, 2, '2023-08-29 17:45:00'),
(85, 178, 3, '2023-08-30 10:00:00'),
(86, 45, 4, '2023-08-31 18:15:00'),
(87, 296, 1, '2023-09-01 14:30:00'),
(88, 121, 2, '2023-09-02 16:45:00'),
(89, 214, 3, '2023-09-03 19:00:00'),
(90, 55, 4, '2023-09-04 16:15:00'),
(91, 98, 1, '2023-09-05 22:30:00'),
(92, 198, 2, '2023-09-06 20:45:00'),
(93, 33, 3, '2023-09-07 12:00:00'),
(94, 132, 4, '2023-09-08 16:15:00'),
(95, 296, 1, '2023-09-09 10:30:00'),
(96, 214, 2, '2023-09-10 18:45:00'),
(97, 76, 3, '2023-09-11 21:00:00'),
(98, 303, 4, '2023-09-12 15:15:00'),
(99, 207, 1, '2023-09-13 19:30:00'),
(100, 312, 2, '2023-09-14 14:45:00'),
(101, 99, 3, '2023-09-15 16:00:00'),
(102, 198, 4, '2023-09-16 10:15:00'),
(103, 154, 1, '2023-09-17 18:30:00'),
(104, 287, 2, '2023-09-18 15:45:00'),
(105, 207, 3, '2023-09-19 21:00:00'),
(106, 33, 4, '2023-09-20 19:15:00'),
(107, 123, 1, '2023-09-21 13:30:00'),
(108, 312, 2, '2023-09-22 17:45:00'),
(109, 55, 3, '2023-09-23 11:00:00'),
(110, 132, 4, '2023-09-24 17:15:00'),
(111, 303, 1, '2023-09-25 21:30:00'),
(112, 99, 2, '2023-09-26 19:45:00'),
(113, 189, 3, '2023-09-27 14:00:00'),
(114, 76, 4, '2023-09-28 18:15:00'),
(115, 178, 1, '2023-09-29 10:30:00'),
(116, 45, 2, '2023-09-30 18:45:00'),
(117, 296, 3, '2023-10-01 15:00:00'),
(118, 121, 4, '2023-10-02 17:15:00'),
(119, 214, 1, '2023-10-03 20:30:00'),
(120, 55, 2, '2023-10-04 17:45:00'),
(121, 98, 3, '2023-10-05 00:00:00'),
(122, 198, 4, '2023-10-06 20:15:00'),
(123, 33, 1, '2023-10-07 12:30:00'),
(124, 132, 2, '2023-10-08 16:45:00'),
(125, 296, 3, '2023-10-09 11:00:00'),
(126, 214, 4, '2023-10-10 19:15:00'),
(127, 76, 1, '2023-10-11 21:30:00'),
(128, 303, 2, '2023-10-12 15:45:00'),
(129, 207, 3, '2023-10-13 20:00:00'),
(130, 312, 4, '2023-10-14 15:15:00'),
(131, 99, 1, '2023-10-15 19:30:00'),
(132, 189, 2, '2023-10-16 14:45:00'),
(133, 76, 3, '2023-10-17 17:00:00'),
(134, 178, 4, '2023-10-18 11:15:00'),
(135, 45, 1, '2023-10-19 19:30:00'),
(136, 296, 2, '2023-10-20 15:45:00'),
(137, 121, 3, '2023-10-21 21:00:00'),
(138, 214, 4, '2023-10-22 19:15:00'),
(139, 55, 1, '2023-10-23 13:30:00'),
(140, 98, 2, '2023-10-24 17:45:00'),
(141, 198, 3, '2023-10-25 11:00:00'),
(142, 33, 4, '2023-10-26 15:15:00'),
(143, 132, 1, '2023-10-27 21:30:00'),
(144, 296, 2, '2023-10-28 19:45:00'),
(145, 214, 3, '2023-10-29 14:00:00'),
(146, 76, 4, '2023-10-30 18:15:00'),
(147, 303, 1, '2023-10-31 10:30:00'),
(148, 207, 2, '2023-11-01 18:45:00'),
(149, 312, 3, '2023-11-02 15:00:00'),
(150, 99, 4, '2023-11-03 17:15:00'),
(151, 189, 1, '2023-11-04 20:30:00'),
(152, 76, 2, '2023-11-05 17:45:00'),
(153, 178, 3, '2023-11-06 00:00:00'),
(154, 45, 4, '2023-11-07 20:15:00'),
(155, 296, 1, '2023-11-08 12:30:00'),
(156, 121, 2, '2023-11-09 16:45:00'),
(157, 214, 3, '2023-11-10 11:00:00'),
(158, 55, 4, '2023-11-11 19:15:00'),
(159, 98, 1, '2023-11-12 21:30:00'),
(160, 198, 2, '2023-11-13 15:45:00'),
(161, 33, 3, '2023-11-14 20:00:00'),
(162, 132, 4, '2023-11-15 15:15:00'),
(163, 296, 1, '2023-11-16 19:30:00'),
(164, 214, 2, '2023-11-17 14:45:00'),
(165, 76, 3, '2023-11-18 17:00:00'),
(166, 303, 4, '2023-11-19 11:15:00'),
(167, 207, 1, '2023-11-20 19:30:00'),
(168, 312, 2, '2023-11-21 15:45:00'),
(169, 99, 3, '2023-11-22 21:00:00'),
(170, 189, 4, '2023-11-23 19:15:00'),
(171, 76, 1, '2023-11-24 13:30:00'),
(172, 178, 2, '2023-11-25 17:45:00'),
(173, 45, 3, '2023-11-26 11:00:00'),
(174, 296, 4, '2023-11-27 15:15:00'),
(175, 121, 1, '2023-11-28 21:30:00'),
(176, 214, 2, '2023-11-29 19:45:00'),
(177, 55, 3, '2023-11-30 14:00:00'),
(178, 98, 4, '2023-12-01 18:15:00'),
(179, 198, 1, '2023-12-02 10:30:00'),
(180, 33, 2, '2023-12-03 18:45:00'),
(181, 132, 3, '2023-12-04 15:00:00'),
(182, 296, 4, '2023-12-05 17:15:00'),
(183, 214, 1, '2023-12-06 20:30:00'),
(184, 76, 2, '2023-12-07 17:45:00'),
(185, 178, 3, '2023-12-08 00:00:00'),
(186, 45, 4, '2023-12-09 20:15:00'),
(187, 296, 1, '2023-12-10 12:30:00'),
(188, 121, 2, '2023-12-11 16:45:00'),
(189, 214, 3, '2023-12-12 11:00:00'),
(190, 55, 4, '2023-12-13 19:15:00'),
(191, 98, 1, '2023-12-14 21:30:00'),
(192, 198, 2, '2023-12-15 15:45:00'),
(193, 33, 3, '2023-12-16 20:00:00'),
(194, 132, 4, '2023-12-17 15:15:00'),
(195, 296, 1, '2023-12-18 19:30:00'),
(196, 214, 2, '2023-12-19 14:45:00'),
(197, 76, 3, '2023-12-20 17:00:00'),
(198, 303, 4, '2023-12-21 11:15:00'),
(199, 207, 1, '2023-12-22 19:30:00'),
(200, 312, 2, '2023-12-23 15:45:00'),
(201, 99, 3, '2023-12-24 21:00:00'),
(202, 189, 4, '2023-12-25 19:15:00'),
(203, 76, 1, '2023-12-26 13:30:00'),
(204, 178, 2, '2023-12-27 17:45:00'),
(205, 45, 3, '2023-12-28 11:00:00'),
(206, 296, 4, '2023-12-29 15:15:00'),
(207, 121, 1, '2023-12-30 21:30:00'),
(208, 214, 2, '2023-12-31 19:45:00'),
(209, 55, 3, '2024-01-01 14:00:00'),
(210, 98, 4, '2024-01-02 18:15:00'),
(211, 198, 1, '2024-01-03 10:30:00'),
(212, 33, 2, '2024-01-04 18:45:00'),
(213, 132, 3, '2024-01-05 15:00:00'),
(214, 296, 4, '2024-01-06 17:15:00'),
(215, 214, 1, '2024-01-07 20:30:00'),
(216, 76, 2, '2024-01-08 17:45:00'),
(217, 178, 3, '2024-01-09 00:00:00'),
(218, 45, 4, '2024-01-10 20:15:00')
;















