INSERT INTO scheduled(showMovieId, movieID, theaterID, showMovieDate, showMovieDuration) VALUES
  (1, 393, 21, '2020-05-23', 214),
  (2, 479, 9, '2020-05-24', 58),
  (3, 472, 25, '2020-05-25', 59),
  (4, 59, 27, '2020-05-26', 237),
  (5, 371, 26, '2020-05-27', 185),
  (6, 200, 12, '2020-05-28', 157),
  (7, 110, 17, '2020-05-29', 169),
  (8, 421, 5, '2020-05-30', 106),
  (9, 79, 1, '2020-05-31', 211),
  (10, 186, 3, '2020-06-01', 92),
  (11, 285, 10, '2020-06-02', 169),
  (12, 395, 13, '2020-06-03', 119),
  (13, 189, 22, '2020-06-04', 153),
  (14, 364, 19, '2020-06-05', 219),
  (15, 222, 2, '2020-06-06', 138),
  (16, 148, 4, '2020-06-07', 167),
  (17, 59, 27, '2020-06-08', 203),
  (18, 211, 6, '2020-06-09', 162),
  (19, 402, 8, '2020-06-10', 178),
  (20, 100, 23, '2020-06-11', 145),
  (21, 379, 24, '2020-06-12', 214),
  (22, 139, 16, '2020-06-13', 184),
  (23, 271, 11, '2020-06-14', 96),
  (24, 77, 15, '2020-06-15', 191),
  (25, 214, 20, '2020-06-16', 219),
  (26, 286, 18, '2020-06-17', 134),
  (27, 178, 14, '2020-06-18', 159),
    (28, 286, 18, '2023-05-23', 98),
  (29, 178, 14, '2023-05-24', 199),
  (30, 395, 13, '2023-05-25', 156),
  (31, 189, 22, '2023-05-26', 202),
  (32, 364, 19, '2023-05-27', 175),
  (33, 222, 2, '2023-05-28', 128),
  (34, 148, 4, '2023-05-29', 169),
  (35, 59, 27, '2023-05-30', 187),
  (36, 211, 6, '2023-05-31', 214),
  (37, 402, 8, '2023-06-01', 198),
  (38, 100, 23, '2023-06-02', 141),
  (39, 379, 24, '2023-06-03', 225),
  (40, 139, 16, '2023-06-04', 182),
  (41, 271, 11, '2023-06-05', 102),
  (42, 77, 15, '2023-06-06', 185),
  (43, 214, 20, '2023-06-07', 215),
  (44, 286, 18, '2023-06-08', 132),
  (45, 178, 14, '2023-06-09', 166),
  (46, 395, 13, '2023-06-10', 158),
  (47, 189, 22, '2023-06-11', 195),
  (48, 364, 19, '2023-06-12', 201),
  (49, 222, 2, '2023-06-13', 132),
  (50, 148, 4, '2023-06-14', 174),
  (51, 59, 27, '2023-06-15', 193),
  (52, 211, 6, '2023-06-16', 216),
  (53, 402, 8, '2023-06-17', 195),
  (54, 100, 23, '2023-06-18', 146),
  (55, 379, 24, '2023-06-19', 221),
  (56, 139, 16, '2023-06-20', 183),
  (57, 271, 11, '2023-06-21', 99),
  (58, 77, 15, '2023-06-22', 183),
  (59, 214, 20, '2023-06-23', 221),
  (60, 286, 18, '2023-06-24', 133),
  (61, 178, 14, '2023-06-25', 167),
  (62, 395, 13, '2023-06-26', 157),
  (63, 189, 22, '2023-06-27', 196),
  (64, 364, 19, '2023-06-28', 204),
  (65, 222, 2, '2023-06-29', 131),
  (66, 148, 4, '2023-06-30', 179),
  (67, 59, 27, '2023-07-01', 196),
  (68, 211, 6, '2023-07-02', 219),
  (69, 402, 8, '2023-07-03', 193),
  (70, 100, 23, '2023-07-04', 150),
  (71, 379, 24, '2023-07-05', 217),
  (72, 139, 16, '2023-07-06', 185),
  (73, 271, 11, '2023-07-07', 96),
  (74, 77, 15, '2023-07-08', 180),
  (75, 214, 20, '2023-07-09', 225),
  (76, 178, 14, '2023-07-11', 169),
  (77, 395, 13, '2023-07-12', 156),
  (78, 189, 22, '2023-07-13', 199),
  (79, 364, 19, '2023-07-14', 207),
  (80, 222, 2, '2023-07-15', 128),
  (81, 148, 4, '2023-07-16', 183),
  (82, 59, 27, '2023-07-17', 198),
  (83, 211, 6, '2023-07-18', 223),
  (84, 402, 8, '2023-07-19', 190),
  (85, 100, 23, '2023-07-20', 153),
  (86, 379, 24, '2023-07-21', 215),
  (87, 139, 16, '2023-07-22', 185),
  (88, 271, 11, '2023-07-23', 93),
  (89, 77, 15, '2023-07-24', 178),
  (90, 214, 20, '2023-07-25', 230),
  (91, 286, 18, '2023-07-26', 128),
  (92, 178, 14, '2023-07-27', 173),
  (93, 395, 13, '2023-07-28', 155),
  (94, 189, 22, '2023-07-29', 202),
  (95, 364, 19, '2023-07-30', 209),
  (96, 222, 2, '2023-07-31', 125),
  (97, 148, 4, '2023-08-01', 179),
  (98, 59, 27, '2023-08-02', 202),
  (99, 211, 6, '2023-08-03', 227),
  (100, 402, 8, '2023-08-04', 188),
  (101, 100, 23, '2023-08-05', 154),
  (102, 379, 24, '2023-08-06', 213),
  (103, 139, 16, '2023-08-07', 188),
  (104, 271, 11, '2023-08-08', 90),
  (105, 77, 15, '2023-08-09', 175),
  (106, 214, 20, '2023-08-10', 235),
  (107, 286, 18, '2023-08-11', 126),
  (108, 178, 14, '2023-08-12', 177),
  (109, 395, 13, '2023-08-13', 153),
  (110, 189, 22, '2023-08-14', 205),
  (111, 364, 19, '2023-08-15', 212),
  (112, 222, 2, '2023-08-16', 122),
  (113, 148, 4, '2023-08-17', 175),
  (114, 59, 27, '2023-08-18', 206),
  (115, 211, 6, '2023-08-19', 231),
  (116, 402, 8, '2023-08-20', 186),
  (117, 100, 23, '2023-08-21', 156),
  (118, 379, 24, '2023-08-22', 210),
  (119, 139, 16, '2023-08-23', 191),
  (120, 271, 11, '2023-08-24', 88),
  (121, 77, 15, '2023-08-25', 172),
  (122, 214, 20, '2023-08-26', 240),
  (123, 286, 18, '2023-08-27', 123),
  (124, 178, 14, '2023-08-28', 181),
  (125, 395, 13, '2023-08-29', 150),
  (126, 189, 22, '2023-08-30', 208),
  (127, 364, 19, '2023-08-31', 215),
  (128, 222, 2, '2023-09-01', 119),
  (129, 148, 4, '2023-09-02', 170),
  (130, 59, 27, '2023-09-03', 210),
  (131, 211, 6, '2023-09-04', 235),
  (132, 402, 8, '2023-09-05', 184),
  (133, 100, 23, '2023-09-06', 159),
  (134, 379, 24, '2023-09-07', 207),
  (135, 139, 16, '2023-09-08', 194),
  (136, 271, 11, '2023-09-09', 85),
  (137, 77, 15, '2023-09-10', 169),
  (138, 214, 20, '2023-09-11', 245),
  (139, 286, 18, '2023-09-12', 120),
  (140, 178, 14, '2023-09-13', 185),
  (141, 395, 13, '2023-09-14', 147),
